Month,DayofMonth,DayOfWeek,DepTime,Distance,dep_delayed_15min
68115,1,18,3,1645,237,0
77596,11,15,2,1120,390,0
44841,5,9,2,1259,1034,0
51000,1,7,6,1909,646,0
7283,8,20,7,952,1342,0
5242,5,18,3,923,590,0
36463,4,13,3,940,445,0
6042,4,9,6,1350,944,0
21845,9,21,3,650,588,0
93157,6,3,6,810,405,0
75161,10,31,2,718,1736,0
98471,10,1,7,1942,1444,0
27321,10,16,7,2017,853,0
65187,8,24,4,827,899,0
57703,5,30,2,1415,185,0
32704,11,28,2,1404,837,0
69749,7,8,6,1559,545,0
83091,10,26,3,1205,588,0
65490,3,30,4,2038,239,0
28796,2,17,5,2240,2762,0
42168,1,25,3,1421,2072,0
47557,8,28,7,820,1011,0
9970,4,9,7,1936,256,0
49538,4,16,6,1137,846,0
44730,3,11,5,1736,1334,0
54021,5,12,5,1455,1040,0
38219,8,17,3,1053,733,0
20788,5,25,3,832,606,0
44433,3,24,5,622,438,0
76499,6,5,7,1119,515,0
62059,9,1,5,1507,1593,1
98230,2,21,1,1536,192,0
21295,8,4,4,920,732,0
98622,10,28,5,1420,1276,0
92808,6,13,2,1253,70,0
4950,8,15,1,1336,1721,0
14427,11,14,2,1409,405,0
91471,8,28,7,1415,480,0
17195,1,1,7,907,501,0
28765,5,20,5,1101,1964,0
31765,3,26,7,1157,631,0
72204,6,4,6,841,281,0
14087,6,30,4,1449,669,0
59238,5,26,4,1610,1069,0
22287,9,30,5,2138,683,0
21164,1,26,3,1040,391,0
73189,10,31,2,1721,765,0
69785,8,30,2,1635,689,0
21535,6,13,1,1150,370,0
84673,12,18,7,1520,258,0
66202,3,29,3,1406,216,0
26492,3,2,4,1310,254,0
39655,5,28,6,2104,748,0
58574,3,28,1,1314,601,0
56063,9,21,3,1935,267,1
15401,10,24,1,1815,248,0
83460,6,22,4,1413,409,1
25885,8,16,3,1306,646,1
57022,11,27,1,1643,475,0
54520,9,1,4,552,214,0
6090,5,9,1,703,446,0
46943,1,25,2,815,370,0
71988,12,22,4,1822,951,0
53873,1,17,2,832,272,0
85246,3,23,3,700,337,0
42262,8,14,7,1750,562,1
33235,12,4,1,1356,1829,0
42933,3,17,4,632,1069,0
18165,8,9,3,1025,1642,0
34284,7,25,2,1153,100,0
75531,10,11,2,1550,946,1
85787,8,8,2,453,386,0
71502,5,10,3,1641,355,0
92658,8,25,5,849,304,0
76900,7,17,7,1734,1440,0
95694,6,15,4,1325,109,0
60493,7,13,3,806,1739,0
61866,9,22,5,1153,814,0
18288,1,3,1,1305,483,0
55925,2,24,4,1849,544,1
21515,6,24,6,1844,2300,1
85786,6,30,5,811,196,0
23818,4,7,5,1107,1013,1
98308,7,13,4,1110,215,0
7446,8,9,2,1815,431,1
36994,2,17,5,654,748,0
95783,3,17,5,601,402,0
75278,6,27,1,2150,978,1
39971,6,30,4,920,722,0
96453,3,5,6,1230,1020,0
37780,2,23,3,2022,2551,0
92124,12,6,3,1446,641,0
68885,5,12,4,1735,394,0
91325,8,18,5,1941,851,0
85181,4,1,6,1451,992,0
13052,7,9,6,1628,423,1
6746,9,26,1,1725,255,0
52577,12,1,4,751,2611,0
38031,3,24,5,1618,173,1
26368,3,9,3,1115,262,1
50299,8,27,7,1034,719,0
13114,9,15,5,1226,1946,0
90926,12,20,3,635,187,0
9448,1,9,1,1535,407,0
88779,5,26,5,1938,680,1
65653,7,31,1,1033,120,0
32654,12,4,1,1337,474,1
27723,3,8,3,1917,328,0
45593,10,12,3,100,2174,0
63040,7,3,7,1011,1605,0
52152,7,31,1,1915,590,1
67706,4,7,5,1010,493,0
87251,11,23,4,610,216,0
19481,2,6,1,704,1222,0
6506,3,18,5,1800,478,0
73234,1,26,3,1848,936,0
49062,1,15,6,721,246,1
25347,4,24,1,1320,589,0
73514,10,22,7,1132,3972,0
45058,10,31,1,835,317,0
96341,11,4,6,1048,224,0
80450,2,19,6,1616,386,0
15356,4,10,7,1151,1012,0
24142,10,9,1,1800,337,0
71909,10,7,5,747,217,0
69521,12,23,5,1935,802,0
54121,5,27,5,720,630,0
43581,6,11,7,1843,1703,0
99546,2,17,5,633,588,0
40922,12,5,1,622,759,0
92144,8,5,6,1548,649,0
68426,10,14,6,2008,175,1
15543,11,20,7,1056,370,0
25921,9,1,4,754,866,0
90545,4,12,2,1355,829,0
37693,2,27,1,924,503,0
17611,2,9,4,2145,787,0
23846,8,17,3,1514,236,0
4082,11,8,2,935,347,0
14328,11,6,1,839,2401,0
88145,9,22,5,751,842,0
15249,10,17,2,1659,2053,0
36813,2,13,7,1950,938,0
54234,7,25,2,1245,224,1
53243,9,1,5,1506,325,0
6800,9,5,1,1344,120,0
31439,4,30,6,1339,867,0
16676,12,21,3,741,1133,0
87209,11,29,2,835,612,0
60049,7,30,6,1745,480,0
65145,12,18,1,1047,862,1
59328,2,28,1,840,109,0
36360,2,17,4,1906,369,1
883,12,14,4,1930,273,0
54698,9,30,5,1412,370,0
13311,5,28,6,1510,227,0
85957,4,26,3,757,938,0
72546,7,21,5,2035,515,0
67972,1,21,5,730,190,0
78883,2,8,2,1638,607,1
43367,3,29,2,1250,453,0
25836,2,6,1,1430,1489,0
51206,2,27,1,2001,1781,0
61423,8,31,4,2035,236,0
92051,11,12,7,945,370,0
18407,10,22,6,1455,1751,1
9849,8,26,6,1919,256,0
88520,3,4,5,1002,140,0
34787,9,8,4,1505,366,0
43145,1,19,4,1527,200,0
32547,6,3,5,1225,342,0
56393,4,26,2,646,264,0
85741,6,4,7,1827,2565,0
73890,11,6,1,1257,100,0
87995,7,12,2,1023,412,0
70652,11,1,2,657,1855,0
37695,5,28,7,1609,397,0
36358,1,27,5,1311,1379,0
42237,12,18,1,827,634,0
54452,6,9,5,1610,173,0
7596,8,14,1,1622,1417,0
55995,4,23,7,1829,214,1
55431,10,24,2,1332,630,0
40487,6,6,2,1318,253,0
14934,4,18,1,529,329,0
10371,3,17,5,1323,717,0
75050,10,12,3,1405,507,0
39480,3,5,7,935,1576,0
60010,11,28,2,1755,2586,0
42633,4,22,5,928,529,0
57529,7,28,4,1525,997,0
91126,9,8,5,2009,665,0
57013,9,12,1,1749,81,0
2260,12,30,6,2002,821,1
44471,1,24,1,1648,552,0
28121,11,24,4,1250,1072,0
81411,12,9,5,740,288,1
31890,6,24,6,1419,1121,1
39160,8,9,3,856,2161,0
41198,12,14,4,1649,1056,0
98251,12,29,4,1628,1140,1
94163,2,13,1,1205,986,1
61166,7,18,1,1457,362,0
82494,7,18,1,2108,1347,0
54767,5,30,2,1506,106,1
19908,8,24,3,1128,957,0
65899,4,2,6,1020,325,0
78878,4,27,3,1853,201,0
85235,6,23,5,1145,1372,0
96787,12,26,2,916,412,0
25706,3,29,3,1955,668,1
27991,12,16,5,914,581,0
7048,7,28,4,2020,342,0
84023,9,15,4,852,431,0
62549,1,13,4,1559,788,0
61370,7,27,4,1054,159,0
82599,7,30,6,1640,422,0
99252,12,19,1,1002,190,0
86144,12,2,5,1202,328,0
65984,11,2,4,1243,288,0
94783,11,3,5,1204,966,0
69641,7,30,7,1032,374,0
74082,2,19,6,1826,564,0
36896,3,10,5,1252,1674,0
18617,3,14,1,1824,689,0
59766,3,14,2,942,987,0
88186,11,13,1,1546,562,0
22175,6,9,4,1317,859,0
12235,10,28,5,842,1979,0
34289,5,10,2,1155,236,0
63653,8,20,6,1739,528,1
74689,8,11,4,1831,1199,0
50305,7,15,6,1216,533,0
11535,11,16,3,2247,197,1
95723,6,21,2,1300,1121,0
37101,11,15,2,1124,337,0
41201,7,14,4,720,368,0
90691,12,29,5,1919,607,0
83463,11,26,7,750,419,0
24817,8,3,4,1716,280,1
45999,2,27,1,1235,1139,0
70610,6,18,7,1027,137,0
43855,6,13,1,2119,1024,1
42365,4,8,5,1231,1035,1
11848,10,21,5,1650,446,0
486,3,14,2,1308,251,0
36968,11,22,2,1858,102,1
94505,3,7,1,1046,383,0
41844,9,5,2,1439,673,1
80883,9,11,1,1444,215,1
8654,2,10,5,1712,1929,0
5235,6,13,2,1910,445,0
76167,1,13,5,725,605,0
87970,10,28,6,1121,1124,0
4809,2,26,7,53,1754,1
3683,1,4,2,600,377,0
27173,12,22,5,1256,1452,0
10467,6,14,3,741,804,0
93243,1,12,3,659,306,0
55673,10,19,4,1011,258,0
50876,5,3,3,1642,302,0
81723,11,7,2,2035,404,0
50246,10,19,3,1135,365,0
62185,10,4,2,1447,366,0
31946,2,9,3,1025,581,0
46634,1,16,1,1535,629,0
21146,12,27,2,722,1050,0
85378,12,17,7,2059,569,0
48545,12,3,7,1435,861,0
51826,1,15,7,1314,2704,0
12200,2,21,2,800,1438,0
190,5,25,4,905,251,0
19970,11,7,2,1205,761,1
3546,1,13,4,1019,612,1
12967,11,22,3,1910,552,0
29716,6,13,2,740,425,0
66110,12,10,6,1430,948,0
78723,7,15,5,1041,732,0
67981,11,17,5,2052,802,1
51584,7,16,7,1702,2556,0
79291,2,10,4,1155,718,0
88377,2,5,6,2016,100,0
34589,9,26,1,1619,522,0
61022,8,17,4,759,256,0
77378,9,10,7,1937,612,1
99917,3,13,7,1725,213,0
4943,9,17,6,1900,300,1
20847,7,25,2,2039,612,0
64024,9,21,4,1535,239,0
50291,10,27,4,1533,169,0
91665,3,7,1,1015,1703,0
94839,5,13,5,1500,431,0
31685,4,24,7,624,861,0
69310,9,13,2,2025,946,0
92174,6,7,3,610,373,0
78413,9,20,3,1008,342,0
89782,9,26,2,1443,487,0
75265,9,20,3,1745,562,0
50789,11,17,4,1145,181,0
9509,3,12,6,1553,407,0
38707,8,20,7,608,488,0
96472,3,4,5,706,651,0
57343,6,17,5,728,723,1
43082,6,26,7,945,1848,1
43041,4,27,3,930,404,0
26230,6,30,5,1415,680,0
8226,11,17,4,1934,834,0
8179,6,11,6,916,1222,0
48437,10,3,1,1240,488,0
19994,5,12,4,2015,630,0
79056,8,21,7,808,2139,0
62131,12,23,6,957,580,1
50554,10,6,4,1250,209,0
63796,10,27,5,456,813,0
70292,4,15,6,1755,1076,0
49371,3,10,4,756,1993,0
47886,12,4,7,1055,416,0
55579,8,23,3,856,2053,0
62682,10,9,7,915,258,0
17952,2,16,4,840,997,0
7029,4,13,4,1418,887,0
71814,4,29,6,2115,809,0
72021,8,22,1,1630,1444,0
39458,7,26,2,600,500,0
79989,11,2,3,940,714,0
68967,6,13,2,1335,1246,1
57020,8,4,4,1935,303,1
20389,12,2,5,1313,1189,0
55119,1,13,4,1255,451,0
34710,1,17,1,2007,523,0
4186,3,8,2,630,718,0
47616,8,25,5,650,358,1
42919,9,20,2,833,2367,0
40262,9,6,2,1647,190,0
53158,5,8,7,1446,809,0
86456,9,17,6,1505,1999,0
60151,12,22,4,1701,1171,1
97568,8,16,3,1805,390,0
71232,6,14,3,1647,208,0
81641,4,15,6,1539,468,0
78652,12,29,4,1927,626,0
64627,5,19,4,1247,369,0
1359,7,22,6,846,399,0
8374,3,22,2,1901,1487,0
62618,10,6,5,1431,604,0
37854,1,27,4,1314,1124,0
87167,11,23,4,2026,950,0
98133,4,18,2,1144,1379,0
99800,12,27,3,1035,407,1
92444,7,16,6,936,599,0
24488,1,28,5,1837,533,1
39455,8,18,5,2035,2227,0
24723,3,27,7,2146,2556,0
52119,6,26,1,1921,921,1
47496,2,16,4,2126,589,1
59839,4,11,1,2024,1231,0
98327,4,13,4,821,602,0
33039,6,17,6,846,399,0
50835,9,21,3,1635,429,0
19936,7,7,5,1901,1751,1
10949,2,10,5,1206,387,1
97754,9,18,7,1456,491,0
96820,11,4,6,945,528,0
13854,9,21,3,1005,622,0
31357,6,10,5,1348,410,0
58616,10,14,6,1356,551,0
91291,10,31,1,1154,2565,0
25482,6,13,1,1526,2486,0
22759,11,1,3,1038,2419,0
75572,7,19,2,755,515,0
49863,2,10,5,800,601,1
89344,1,23,7,1555,714,0
33237,1,27,4,1710,861,0
43291,3,31,4,1319,930,0
35112,10,8,7,800,1050,0
36250,3,12,6,1924,1900,0
79620,5,2,1,1701,396,1
65432,1,13,4,1244,925,1
17206,4,17,7,1354,683,0
25018,4,11,1,2113,1217,0
69549,2,18,6,729,873,0
31126,2,6,7,832,2465,0
17846,8,2,2,1614,290,1
63391,6,20,1,1606,972,1
76813,5,13,6,1702,558,1
1482,3,25,5,1352,332,0
74426,3,14,2,1128,2576,0
21000,2,5,6,932,193,0
88827,10,28,5,1628,545,1
38671,4,17,7,955,157,1
46426,11,13,1,1754,1205,0
27877,6,10,5,928,629,0
24886,8,25,4,630,337,0
44583,5,30,1,1253,1391,0
53115,10,21,5,1847,412,0
75665,10,19,3,1108,1726,0
93399,8,9,2,920,1199,0
44109,9,27,3,2008,487,1
58867,5,18,4,940,469,0
58654,6,12,7,1914,1557,1
44392,8,11,4,1515,1891,0
11593,12,12,2,857,888,0
75286,5,14,7,2251,1300,0
23771,7,17,1,1935,516,1
9603,6,10,6,1747,1091,0
82412,11,28,2,707,911,0
83361,8,14,1,712,828,0
3955,8,15,2,937,331,0
88296,4,11,1,1810,190,0
78179,9,18,7,1150,220,0
6749,4,14,5,1501,152,0
87730,10,11,2,1941,377,0
64831,11,22,3,1116,626,1
47778,12,14,4,838,264,0
51943,1,14,5,905,1750,0
45581,3,28,2,1325,255,1
69507,3,15,2,1057,733,0
79561,4,16,7,714,1076,0
38284,7,4,2,1336,564,0
25716,4,23,7,857,2513,0
86088,6,21,3,2029,804,0
40097,2,11,5,745,187,0
757,11,15,2,1125,629,0
3577,4,30,6,1258,1262,0
14795,1,23,1,906,321,1
92193,9,25,1,2105,318,0
